underlying_symbol,quote_datetime,sequence_number,root,expiration,strike,option_type,exchange_id,trade_size,trade_price,trade_condition_id,canceled_trade_condition_id,best_bid,best_ask,underlying_bid,underlying_ask,number_of_exchanges,{exchange,bid_size,bid,ask_size,ask}[number_of_exchanges]
^VIX,2016-06-01 13:57:58.175,78677916,VIX,2016-06-08,12.500,C,5,1,2.4000,0,0,2.1500,2.6000,14.7500,14.7500,1,5,269,2.1500,2420,2.6000
^VIX,2016-06-01 09:48:28.925,8614309,VIX,2016-06-08,13.000,C,5,100,2.1000,0,0,2.0500,2.4000,15.2250,15.2250,1,5,1577,2.0500,3648,2.4000
^VIX,2016-06-01 11:51:38.000,52474726,VIX,2016-06-08,13.000,C,5,1,2.1500,0,0,1.7000,2.1500,14.9000,14.9000,1,5,1181,1.7000,2533,2.1500
^VIX,2016-06-01 12:10:54.600,57469886,VIX,2016-06-08,13.000,C,5,25,1.8500,0,0,1.7000,2.0000,14.7750,14.7750,1,5,136,1.7000,2122,2.0000
^VIX,2016-06-01 12:14:27.650,58435251,VIX,2016-06-08,13.000,C,5,25,1.9000,0,0,1.6500,2.0500,14.8000,14.8000,1,5,783,1.6500,813,2.0500
^VIX,2016-06-01 12:31:41.850,62201358,VIX,2016-06-08,13.000,C,5,50,1.7000,0,0,1.5500,1.9000,14.7250,14.7250,1,5,1025,1.5500,2094,1.9000
^VIX,2016-06-01 15:55:13.900,101639467,VIX,2016-06-08,13.000,C,5,12,1.7000,0,0,1.5500,1.8000,14.6500,14.6500,1,5,768,1.5500,300,1.8000
^VIX,2016-06-01 09:57:05.100,11566958,VIX,2016-06-08,13.000,P,5,1,0.0300,35,0,0.0000,0.0500,15.2250,15.2250,1,5,0,0.0000,362,0.0500
^VIX,2016-06-01 10:23:09.150,23021208,VIX,2016-06-08,13.000,P,5,10,0.1000,0,0,0.0000,0.1000,15.1500,15.1500,1,5,0,0.0000,8645,0.1000
^VIX,2016-06-01 15:59:28.125,102641202,VIX,2016-06-08,13.500,C,5,1,1.2500,0,0,1.1000,1.3500,14.6500,14.6500,1,5,1040,1.1000,364,1.3500
^VIX,2016-06-01 09:33:20.375,2550724,VIX,2016-06-08,14.000,C,5,10,1.3000,0,0,1.2000,1.6000,15.2250,15.2250,1,5,1768,1.2000,2456,1.6000
^VIX,2016-06-01 09:35:16.550,3309685,VIX,2016-06-08,14.000,C,5,2,1.5000,0,0,1.5000,1.6000,15.2500,15.2500,1,5,2,1.5000,3097,1.6000
^VIX,2016-06-01 09:49:58.750,9208311,VIX,2016-06-08,14.000,C,5,1,1.2500,0,0,1.2000,1.3000,15.2000,15.2000,1,5,751,1.2000,4,1.3000
^VIX,2016-06-01 09:50:59.625,9541967,VIX,2016-06-08,14.000,C,5,4,1.2500,0,0,1.2000,1.4500,15.1750,15.1750,1,5,710,1.2000,2820,1.4500
^VIX,2016-06-01 10:03:29.825,15506321,VIX,2016-06-08,14.000,C,5,2,1.3000,0,0,1.2500,1.6000,15.2000,15.2000,1,5,277,1.2500,4027,1.6000
^VIX,2016-06-01 10:28:43.025,25479405,VIX,2016-06-08,14.000,C,5,3,1.3000,0,0,1.1500,1.4000,15.1500,15.1500,1,5,1375,1.1500,1994,1.4000
^VIX,2016-06-01 11:01:58.375,37593260,VIX,2016-06-08,14.000,C,5,20,0.9500,0,0,0.9500,1.2500,14.9000,14.9000,1,5,217,0.9500,4625,1.2500
^VIX,2016-06-01 11:55:04.825,254672992,VIX,2016-06-08,14.000,C,5,130,1.0000,0,0,0.9000,1.2000,14.8000,14.8000,1,5,3130,0.9000,168,1.2000
^VIX,2016-06-01 12:31:23.725,62101255,VIX,2016-06-08,14.000,C,5,3,0.9500,0,0,0.8000,1.0500,14.7250,14.7250,1,5,815,0.8000,214,1.0500
^VIX,2016-06-01 09:41:12.525,5389586,VIX,2016-06-08,14.000,P,5,2,0.1000,0,0,0.0500,0.1500,15.2500,15.2500,1,5,4074,0.0500,610,0.1500
^VIX,2016-06-01 11:09:48.875,40217742,VIX,2016-06-08,14.000,P,5,50,0.2000,0,0,0.1500,0.2500,14.8500,14.8500,1,5,27,0.1500,813,0.2500
^VIX,2016-06-01 12:31:56.600,62276484,VIX,2016-06-08,14.000,P,5,20,0.2500,0,0,0.2000,0.2500,14.7250,14.7250,1,5,10,0.2000,541,0.2500
^VIX,2016-06-01 14:20:57.675,84049658,VIX,2016-06-08,14.000,P,5,541,0.2500,0,0,0.2000,0.3000,14.6500,14.6500,1,5,2596,0.2000,187,0.3000
^VIX,2016-06-01 16:14:45.000,103414711,VIX,2016-06-08,14.000,P,5,10,0.2500,0,0,0.2000,0.3000,14.6500,14.6500,1,5,37,0.2000,245,0.3000
