Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Time to Expiry
NIFTY,10-11-2017,28-Dec-17,CE,10100,342,384.55,319.95,346.65,357.25,346.65,369,2891.94,96.77,270000,6000,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10200,274.05,308.15,246,280.1,288,280.1,814,6395.29,168.19,463125,1200,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10300,213.15,239.05,184.95,214.45,220,214.45,2489,19614.17,386.64,583650,7725,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10400,156.1,177.75,133.4,153.65,161.45,153.65,2648,20963.42,309.02,436650,3675,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10500,117.45,128.45,92.6,112.2,117.7,112.2,8500,67640.94,703.44,1862175,2625,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10600,79.65,88.55,62.4,73.25,79.25,73.25,7319,58599.59,413.54,861675,99600,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10700,47.6,57.55,39.7,47.6,51,47.6,4549,36673.58,167.86,448275,12825,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10800,21.7,35.95,21.7,29.85,31.8,29.85,2656,21573.44,59.84,315000,11625,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,10900,18.35,22,15.3,18.2,19.65,18.2,2729,22348.85,39.28,203775,39900,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11000,13.45,16,11.7,13.45,14.6,13.45,6447,53254.38,66.63,978975,69450,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11100,11.55,11.55,7.6,8.25,9.5,8.25,450,3749.39,3.14,69075,13425,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11200,5.2,6.1,4.15,5.35,5.4,5.35,242,2033.77,0.97,70500,5250,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11300,9.5,9.5,3.5,3.8,3.8,3.8,4,33.92,0.02,225,75,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11400,4.35,4.35,4,4,4,4,21,179.62,0.07,366225,1500,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11500,1.8,2.6,1.8,2.1,2.15,2.1,775,6685.62,1.24,160575,16350,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11600,0,0,0,19.6,0,0.3,0,0,0,0,0,10321.75,48
NIFTY,10-11-2017,28-Dec-17,CE,11700,0,0,0,9.4,0,0.15,0,0,0,0,0,10321.75,48
NIFTY,13-11-2017,28-Dec-17,CE,10100,361.45,361.45,302,312.9,304.25,312.9,527,4120.16,128.13,273225,3225,10224.95,45
NIFTY,13-11-2017,28-Dec-17,CE,10200,283.95,283.95,232.75,238.15,236.05,238.15,566,4437.5,107.6,472800,9675,10224.95,45
NIFTY,13-11-2017,28-Dec-17,CE,10300,213,223.05,167.55,177.9,175.5,177.9,3742,29429.83,522.88,670425,86775,10224.95,45
NIFTY,13-11-2017,28-Dec-17,CE,10400,153.65,165.25,123.6,129.05,127,129.05,3181,25148.89,337.09,493950,57300,10224.95,45
NIFTY,13-11-2017,28-Dec-17,CE,10500,115.8,119,87,90.15,88.8,90.15,9905,78746.59,744.72,1929600,67425,10224.95,45
NIFTY,13-11-2017,28-Dec-17,CE,10600,73.6,81.2,57.4,59.3,58.75,59.3,4869,38950.89,242.34,939225,77550,10224.95,45
